Time-Stamp, Data-Prefix, Data-Size, OutputStream, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk
2023-09-26 13:28:42.566, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 1, 0, 0, 0, 0.3164, 0.07692307692307693, 1.0
2023-09-26 13:28:47.313, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 2, 0, 0, 0, 0.3164, 0.07692307692307693, 1.0
2023-09-26 13:28:51.475, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 3, 0, 0, 0, 0.3164, 0.07692307692307693, 1.0
2023-09-26 13:28:58.169, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 4, 0, 0, 0, 0.3164, 0.07692307692307693, 1.0
2023-09-26 13:29:02.755, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 5, 0, 0, 0, 0.3164, 0.07692307692307693, 1.0
2023-09-26 13:29:10.036, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 6, 0, 0, 0, 0.3164, 0.07692307692307693, 1.0
2023-09-26 13:29:17.701, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 0, 0, 0, 0, 0.3164, 0.07692307692307693, 1.0
2023-09-26 13:29:25.284, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 1, 0, 0, 0, 0.3164, 0.07692307692307693, 1.0
2023-09-26 13:32:32.202, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:32:37.534, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 1, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:33:13.504, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:33:38.446, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:33:43.444, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:35:05.08, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:35:09.947, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
