Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords
2023-10-12 10:55:29.92, zfkd_, 10000, 0.03226277698832769, 1, 0, 4, -1, -1, -1, 0.068, 0.022727272727272728, 0.3333333333333333, 14, 44, 680, 10000, 0
2023-10-12 10:55:30.119, zfkd_, 10000, 0.2599210498948732, 1, 0, 5, -1, -1, -1, 0.0068, 0.0026954177897574125, 0.011363636363636364, 147, 371, 68, 10000, 0
2023-10-12 10:55:30.335, zfkd_, 10000, 0.5729583017988527, 1, 1, 0, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 14, 10000, 9958
2023-10-12 10:55:30.409, zfkd_, 10000, 0.5048040073262263, 1, 1, 1, -1, -1, -1, 0.3068091844813935, 0.14285714285714285, 0.3333333333333333, 3, 7, 775, 10000, 7474
2023-10-12 10:55:30.509, zfkd_, 10000, 0.24982813488192135, 1, 1, 2, -1, -1, -1, 0.09991998399679936, 0.047619047619047616, 0.3333333333333333, 10, 21, 999, 10000, 2
2023-10-12 10:55:30.609, zfkd_, 10000, 0.11277106395661685, 1, 1, 3, -1, -1, -1, 0.0884387847187406, 0.027777777777777776, 0.3333333333333333, 11, 36, 882, 10000, 27
2023-10-12 10:55:30.671, zfkd_, 10000, 0.12660424825395444, 1, 1, 4, -1, -1, -1, 0.034, 0.011627906976744186, 0.1111111111111111, 29, 86, 340, 10000, 0
2023-10-12 10:55:30.746, zfkd_, 10000, 0.3750688670741411, 1, 1, 5, -1, -1, -1, 0.0034, 0.0013717421124828531, 0.005025125628140704, 294, 729, 34, 10000, 0
2023-10-12 10:55:30.811, zfkd_, 10000, 0.5738308497438356, 2, 0, 0, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 2, 10000, 9994
2023-10-12 10:55:30.929, zfkd_, 10000, 0.5413878571910375, 2, 0, 1, -1, -1, -1, 0.3203309692671395, 0.2, 0.3333333333333333, 3, 5, 271, 10000, 9154
2023-10-12 10:55:31.029, zfkd_, 10000, 0.16466127032888034, 2, 0, 2, -1, -1, -1, 0.18267027702561967, 0.07692307692307693, 0.3333333333333333, 5, 13, 1754, 10000, 398
2023-10-12 10:55:31.181, zfkd_, 10000, 0.042322258765989273, 2, 0, 3, -1, -1, -1, 0.1586688921343626, 0.05, 0.3333333333333333, 6, 20, 1521, 10000, 414
2023-10-12 10:55:31.248, zfkd_, 10000, 0.03226277698832769, 2, 0, 4, -1, -1, -1, 0.068, 0.022727272727272728, 0.3333333333333333, 14, 44, 680, 10000, 0
2023-10-12 10:55:31.46, zfkd_, 10000, 0.2599210498948732, 2, 0, 5, -1, -1, -1, 0.0068, 0.0026954177897574125, 0.011363636363636364, 147, 371, 68, 10000, 0
2023-10-12 10:55:31.565, zfkd_, 10000, 0.5729583017988527, 2, 1, 0, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 14, 10000, 9958
2023-10-12 10:55:31.674, zfkd_, 10000, 0.5048040073262263, 2, 1, 1, -1, -1, -1, 0.3068091844813935, 0.14285714285714285, 0.3333333333333333, 3, 7, 775, 10000, 7474
2023-10-12 10:55:31.816, zfkd_, 10000, 0.24982813488192135, 2, 1, 2, -1, -1, -1, 0.09991998399679936, 0.047619047619047616, 0.3333333333333333, 10, 21, 999, 10000, 2
2023-10-12 10:55:31.897, zfkd_, 10000, 0.11277106395661685, 2, 1, 3, -1, -1, -1, 0.0884387847187406, 0.027777777777777776, 0.3333333333333333, 11, 36, 882, 10000, 27
2023-10-12 10:55:31.991, zfkd_, 10000, 0.12660424825395444, 2, 1, 4, -1, -1, -1, 0.034, 0.011627906976744186, 0.1111111111111111, 29, 86, 340, 10000, 0
2023-10-12 10:55:32.547, zfkd_, 10000, 0.3750688670741411, 2, 1, 5, -1, -1, -1, 0.0034, 0.0013717421124828531, 0.005025125628140704, 294, 729, 34, 10000, 0
2023-10-12 10:55:32.94, zfkd_, 10000, 0.5738308497438356, 3, 0, 0, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 2, 10000, 9994
2023-10-12 10:55:33.081, zfkd_, 10000, 0.5413878571910375, 3, 0, 1, -1, -1, -1, 0.3203309692671395, 0.2, 0.3333333333333333, 3, 5, 271, 10000, 9154
2023-10-12 10:55:33.243, zfkd_, 10000, 0.16466127032888034, 3, 0, 2, -1, -1, -1, 0.18267027702561967, 0.07692307692307693, 0.3333333333333333, 5, 13, 1754, 10000, 398
2023-10-12 10:55:33.404, zfkd_, 10000, 0.042322258765989273, 3, 0, 3, -1, -1, -1, 0.1586688921343626, 0.05, 0.3333333333333333, 6, 20, 1521, 10000, 414
2023-10-12 10:55:33.552, zfkd_, 10000, 0.03226277698832769, 3, 0, 4, -1, -1, -1, 0.068, 0.022727272727272728, 0.3333333333333333, 14, 44, 680, 10000, 0
2023-10-12 10:55:33.71, zfkd_, 10000, 0.2599210498948732, 3, 0, 5, -1, -1, -1, 0.0068, 0.0026954177897574125, 0.011363636363636364, 147, 371, 68, 10000, 0
2023-10-12 10:55:33.927, zfkd_, 10000, 0.5729583017988527, 3, 1, 0, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 14, 10000, 9958
2023-10-12 10:55:34.269, zfkd_, 10000, 0.5048040073262263, 3, 1, 1, -1, -1, -1, 0.3068091844813935, 0.14285714285714285, 0.3333333333333333, 3, 7, 775, 10000, 7474
2023-10-12 10:55:34.372, zfkd_, 10000, 0.24982813488192135, 3, 1, 2, -1, -1, -1, 0.09991998399679936, 0.047619047619047616, 0.3333333333333333, 10, 21, 999, 10000, 2
2023-10-12 10:55:34.5, zfkd_, 10000, 0.11277106395661685, 3, 1, 3, -1, -1, -1, 0.0884387847187406, 0.027777777777777776, 0.3333333333333333, 11, 36, 882, 10000, 27
2023-10-12 10:55:34.957, zfkd_, 10000, 0.12660424825395444, 3, 1, 4, -1, -1, -1, 0.034, 0.011627906976744186, 0.1111111111111111, 29, 86, 340, 10000, 0
2023-10-12 10:55:35.455, zfkd_, 10000, 0.3750688670741411, 3, 1, 5, -1, -1, -1, 0.0034, 0.0013717421124828531, 0.005025125628140704, 294, 729, 34, 10000, 0
2023-10-12 10:55:35.579, zfkd_, 10000, 0.5738308497438356, 4, 0, 0, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 2, 10000, 9994
2023-10-12 10:55:35.798, zfkd_, 10000, 0.5413878571910375, 4, 0, 1, -1, -1, -1, 0.3203309692671395, 0.2, 0.3333333333333333, 3, 5, 271, 10000, 9154
2023-10-12 10:55:35.884, zfkd_, 10000, 0.16466127032888034, 4, 0, 2, -1, -1, -1, 0.18267027702561967, 0.07692307692307693, 0.3333333333333333, 5, 13, 1754, 10000, 398
2023-10-12 10:55:35.988, zfkd_, 10000, 0.042322258765989273, 4, 0, 3, -1, -1, -1, 0.1586688921343626, 0.05, 0.3333333333333333, 6, 20, 1521, 10000, 414
2023-10-12 10:55:36.045, zfkd_, 10000, 0.03226277698832769, 4, 0, 4, -1, -1, -1, 0.068, 0.022727272727272728, 0.3333333333333333, 14, 44, 680, 10000, 0
