Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2

2023-11-21 15:34:48.322, zfkd_, 10, 0.23333333330000006, 0, -1, -1, -1, -1, -1, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:48.661, zfkd_, 10, 0.23333333330000006, 1, -1, -1, -1, -1, -1, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:48.685, zfkd_, 10, 0.23333333330000006, 2, -1, -1, -1, -1, -1, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:48.791, zfkd_, 10, 0.23333333330000006, 3, -1, -1, -1, -1, -1, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:48.819, zfkd_, 10, 0.23333333330000006, 4, -1, -1, -1, -1, -1, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.262, zfkd_, 100, 0.1272549019, 0, -1, -1, -1, -1, -1, 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.334, zfkd_, 100, 0.1272549019, 1, -1, -1, -1, -1, -1, 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.397, zfkd_, 100, 0.1272549019, 2, -1, -1, -1, -1, -1, 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.572, zfkd_, 100, 0.1272549019, 3, -1, -1, -1, -1, -1, 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.588, zfkd_, 100, 0.1272549019, 4, -1, -1, -1, -1, -1, 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.742, zfkd_, 1000, 0.016999999999999904, 0, -1, -1, -1, -1, -1, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.779, zfkd_, 1000, 0.016999999999999904, 1, -1, -1, -1, -1, -1, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.806, zfkd_, 1000, 0.016999999999999904, 2, -1, -1, -1, -1, -1, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.834, zfkd_, 1000, 0.016999999999999904, 3, -1, -1, -1, -1, -1, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.854, zfkd_, 1000, 0.016999999999999904, 4, -1, -1, -1, -1, -1, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:49.968, zfkd_, 5000, 0.0012000000000000899, 0, -1, -1, -1, -1, -1, 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:50.006, zfkd_, 5000, 0.0012000000000000899, 1, -1, -1, -1, -1, -1, 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
